M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,W_interpretation,p_posthoc_min,Uebung,Muskel,Abschnitt,Kennwert,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
58.504774965616406,24.184812186376117,11,61.171440304989595,15.385750156975307,11,79.47227472324413,26.018128698818597,11,11,Friedman,5.636363636363626,"5,636",2,0.059714415732185576,nein,0.25619834710743755,schwach,,CMJ einbeinig R,Vastus Lateralis,Landung,peak_emg,,,
25.29975733429527,15.575592889103815,11,20.582845152462525,10.451416376300948,11,34.29332619061977,21.14917673600345,11,11,Friedman,5.0909090909090935,"5,091",2,0.07843739051713058,nein,0.23140495867768607,schwach,,DJ bilateral,Biceps Femoris,Landung2,mean_emg,,,
44.148353416392816,30.055938715860748,11,40.996080179574506,26.09960059986535,11,59.941826011913854,28.723104778083616,11,11,Friedman,4.545454545454561,"4,545",2,0.10303080346176338,nein,0.20661157024793458,schwach,,DJ bilateral,Biceps Femoris,Landung2,peak_emg,,,
26.71081342133923,11.759010914338822,11,26.64311460920736,9.64816724660174,11,24.936682206421413,6.084477922044367,11,11,Friedman,0.7272727272727195,"0,727",2,0.6951439283988814,nein,0.03305785123966907,vernachlaessigbar,,DJ bilateral,Gastrocnemius Medialis,Landung2,mean_emg,,,
63.05156416266365,19.224912634152663,11,58.60075908551574,23.909367787423662,11,58.31592075134265,22.223452232746755,11,11,Friedman,0.18181818181818699,"0,182",2,0.91310071628226,nein,0.00826446280991759,vernachlaessigbar,,DJ bilateral,Gastrocnemius Medialis,Landung2,peak_emg,,,
27.586783680000245,9.257845882262973,11,34.82283710333406,11.78284344015004,11,36.7930406863814,14.22322655549011,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,DJ bilateral,Gluteus Medius,Landung2,mean_emg,,,
52.49429566308031,18.217515007327602,11,69.97319135963723,16.78731499469083,11,64.00833030131963,26.233647299561902,11,11,Friedman,4.545454545454561,"4,545",2,0.10303080346176338,nein,0.20661157024793458,schwach,,DJ bilateral,Gluteus Medius,Landung2,peak_emg,,,
25.903454508055027,13.46483925393087,11,29.632260644879043,10.517598835251665,11,26.884648019099007,15.728404036339532,11,11,Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,schwach,,DJ bilateral,Semitendinosus,Landung2,mean_emg,,,
52.931650123503125,28.668966323114535,11,59.21338618112301,21.47434762858032,11,53.83000989606319,32.98796923046136,11,11,Friedman,1.2727272727272805,"1,273",2,0.5292133415000482,nein,0.05785123966942184,vernachlaessigbar,,DJ bilateral,Semitendinosus,Landung2,peak_emg,,,
35.345879892714855,14.38265708970122,11,44.58302408176421,12.152076894526301,11,42.113508302916934,17.87535964751661,11,11,Friedman,1.636363636363626,"1,636",2,0.44123316775998644,nein,0.07438016528925573,vernachlaessigbar,,DJ bilateral,Vastus Lateralis,Landung2,mean_emg,,,
