M_PER,SD_PER,n_PER,M_OVU,SD_OVU,n_OVU,M_LUT,SD_LUT,n_LUT,n_komplett,SW_stat_PER,SW_p_PER,SW_stat_OVU,SW_p_OVU,SW_stat_LUT,SW_p_LUT,Normalverteilung,SW_detail,Test,Chi2,Teststatistik,df,p_wert,Signifikant,Kendalls_W,Mauchly_p,Sphaerizitaet_verletzt,GG_Korrektur,eta2_p,eta2_interpretation,Uebung,Muskel,Abschnitt,Kennwert,F,posthoc_PER_OVU_p,posthoc_PER_LUT_p,posthoc_OVU_LUT_p
50.30161748801061,45.634685264028796,11,27.88761255780007,16.660469426111334,11,59.85764004231044,53.67414191650875,11,11,0.8122595554670976,0.013640747787308642,0.9246634362959318,0.3594128153313499,0.8464843044170891,0.03839608241018348,nein,"PER: 0,014
OVU: 0,359
LUT: 0,038",Friedman,11.090909090909093,"11,091",2,0.003905167724273222,ja,0.5041322314049588,,,,,,CMJ einbeinig R,Vastus Lateralis,Landung,mean_rms,,0.0966796875,1.0,0.0087890625
81.08115214906472,61.64454416460377,11,43.40725358218461,27.919145953034477,11,96.83711947404667,92.36827500944104,11,11,0.8928086627103825,0.1507357521643487,0.892702217120007,0.15027748855936274,0.8091251842288326,0.012404424633799127,nein,"PER: 0,151
OVU: 0,150
LUT: 0,012",Friedman,13.818181818181813,"13,818",2,0.0009986652614481502,ja,0.6280991735537188,,,,,,CMJ einbeinig R,Vastus Lateralis,Landung,peak_rms,,0.0966796875,1.0,0.0029296875
490.486716655876,468.50637032419513,11,368.5974575959732,374.6834622228782,11,314.5105178406878,161.8120826113099,11,11,0.7700029885592572,0.0037962787713648216,0.7054996581447466,0.000550542826370212,0.8889216297422284,0.13481712087885056,nein,"PER: 0,004
OVU: <0,001
LUT: 0,135",Friedman,4.9090909090909065,"4,909",2,0.0859022330378764,nein,0.2231404958677685,,,,,,DJ bilateral,Biceps Femoris,Bodenkontakt,mean_rms,,,,
1216.4086444674888,1312.2129733144923,11,898.234593185259,1104.7463340591357,11,662.2441508405668,423.61421039368463,11,11,0.7734553986106427,0.0042132955784450875,0.6511651540446599,0.00011145997705672606,0.8727110997859205,0.08398861703524235,nein,"PER: 0,004
OVU: <0,001
LUT: 0,084",Friedman,2.363636363636374,"2,364",2,0.30672055757655525,nein,0.1074380165289261,,,,,,DJ bilateral,Biceps Femoris,Bodenkontakt,peak_rms,,,,
279.787872551547,264.62047431777205,11,181.91758773382207,177.22930264486294,11,205.12289263367785,124.8304848843466,11,11,0.7870404998514284,0.0063532999242197,0.6997185190136112,0.00046387514584182634,0.8677212484965766,0.07246019330565054,nein,"PER: 0,006
OVU: <0,001
LUT: 0,072",Friedman,4.9090909090909065,"4,909",2,0.0859022330378764,nein,0.2231404958677685,,,,,,DJ bilateral,Biceps Femoris,Gesamt,mean_rms,,,,
1352.910389475953,1407.1446945779405,11,914.3278467527329,1096.6869708042943,11,704.782174551734,472.4838284951431,11,11,0.8085642146196975,0.012195280196291923,0.6522908552488833,0.0001151766850536073,0.8663984781063316,0.06967037842239575,nein,"PER: 0,012
OVU: <0,001
LUT: 0,070",Friedman,1.2727272727272805,"1,273",2,0.5292133415000482,nein,0.05785123966942184,,,,,,DJ bilateral,Biceps Femoris,Gesamt,peak_rms,,,,
390.938898175326,637.4628269996207,11,180.1346968497711,271.1215455489153,11,232.74744953485103,286.62324617346,11,11,0.5957610586292235,2.2518072034952212e-05,0.586568326914793,1.7318278786545958e-05,0.6588879757184507,0.00013962329759660804,nein,"PER: <0,001
OVU: <0,001
LUT: <0,001",Friedman,3.818181818181813,"3,818",2,0.14821506633752052,nein,0.17355371900826422,,,,,,DJ bilateral,Biceps Femoris,Landung2,mean_rms,,,,
852.0132750903381,1473.4174587927932,11,452.8639895852973,836.8625399499944,11,459.67076637319036,482.14516072424567,11,11,0.5686464744459754,1.0403356303882247e-05,0.5102053502569674,2.013856930755161e-06,0.6983121516084965,0.0004449641649084499,nein,"PER: <0,001
OVU: <0,001
LUT: <0,001",Friedman,2.9090909090909065,"2,909",2,0.2335064790909137,nein,0.13223140495867758,,,,,,DJ bilateral,Biceps Femoris,Landung2,peak_rms,,,,
736.5810181299828,485.4162605540929,11,759.2667497508031,440.71392481650713,11,890.593718795267,837.4767576567531,10,10,0.8593663839212892,0.07500667827256176,0.8777085232911654,0.122807351949693,0.7397135569484725,0.0026747273204318035,nein,"PER: 0,075
OVU: 0,123
LUT: 0,003",Friedman,2.4000000000000057,"2,400",2,0.3011942119122012,nein,0.12000000000000029,,,,,,DJ bilateral,Gastrocnemius medial,Bodenkontakt,mean_rms,,,,
1316.5161099645595,826.6193366825037,11,1429.3850555183462,736.5455092161976,11,1524.336919374858,1377.650658372318,10,10,0.9192160956974371,0.35046321694136884,0.9097923004560419,0.2795673922539764,0.7388783179931145,0.0026128537582294545,nein,"PER: 0,350
OVU: 0,280
LUT: 0,003",Friedman,0.6000000000000085,"0,600",2,0.7408182206817147,nein,0.030000000000000426,,,,,,DJ bilateral,Gastrocnemius medial,Bodenkontakt,peak_rms,,,,
